neo4j_id,cluster_id
77744,2
9268,2
68759,2
76146,2
75839,2
68373,2
6684,2
80276,2
78257,2
67211,2
8950,2
68964,2
8861,2
13508,2
5547,2
4891,2
5653,2
81414,2
70086,2
2069,2
81281,2
77598,2
77551,2
11150,2
68404,2
2974,2
4939,2
68286,2
76449,2
3094,2
6889,2
68332,2
12569,2
11738,2
75851,2
1676,2
4729,2
2716,2
73955,2
10753,2
2180,2
10338,2
72522,2
8525,2
73402,2
5980,2
70304,2
4802,2
1959,2
69311,2
8366,2
3022,2
13925,2
74041,2
3608,2
11085,2
69493,2
2962,2
9254,2
67504,2
2383,2
68875,2
10361,2
12702,2
1529,2
75508,2
74087,2
73668,2
75159,2
3005,2
8854,2
81545,2
67196,2
11433,2
11027,2
11081,2
14397,2
68059,2
70193,2
10586,2
72856,2
77060,2
68677,2
3814,2
5972,2
14594,2
4300,2
81392,2
81297,2
69837,2
6320,2
78424,2
79075,2
900,2
14741,2
72327,2
10041,2
2012,2
1817,2
9056,2
81537,2
74668,2
9623,2
68724,2
12108,2
76662,2
7446,2
13556,2
13183,2
2220,2
13526,2
2389,2
5757,2
4303,2
79864,2
74226,2
71622,2
73200,2
70548,2
69137,2
72257,2
76914,2
80468,2
10546,2
71409,2
11552,2
77895,2
11275,2
69849,2
10135,2
67921,2
70061,2
71013,2
77102,2
5022,2
12084,2
72250,2
76454,2
12918,2
69801,2
67816,2
3686,2
72109,2
12066,2
2587,2
79412,2
76788,2
74622,2
71186,2
1251,2
13256,2
77716,2
10686,2
72781,2
67532,2
71434,2
75200,2
12501,2
4356,2
70878,2
80857,2
76094,2
73879,2
3530,2
71081,2
2914,2
72311,2
72137,2
75068,2
80079,2
9568,2
10341,2
7124,2
394,2
2866,2
74962,2
79943,2
11058,2
77031,2
77877,2
6523,2
2498,2
6972,2
12247,2
821,2
11126,2
74665,2
72839,2
77316,2
73236,2
80815,2
8473,2
6365,2
4522,2
807,2
69875,2
81764,2
1472,2
8192,2
73929,2
2744,2
11919,2
71242,2
8574,2
315,2
80670,2
81222,2
5092,2
14592,2
239,2
74849,2
72532,2
75282,2
6535,2
6516,2
68509,2
11090,2
70027,2
11451,2
77920,2
74378,2
67229,2
73728,2
75074,2
1929,2
6399,2
73394,2
69741,2
70146,2
70689,2
81016,2
2531,2
74376,2
7931,2
68578,2
4140,2
76954,2
74439,2
77441,2
12475,2
79475,2
3740,2
11772,2
71733,2
75719,2
79080,2
78790,2
73795,2
5642,2
77930,2
10195,2
75478,2
9159,2
5460,2
67259,2
8158,2
474,2
6275,2
7145,2
78963,2
12978,2
7056,2
81259,2
75539,2
76082,2
11800,2
81042,2
10712,2
4987,2
67258,2
5007,2
72002,2
1113,2
79833,2
3283,2
74795,2
75645,2
1723,2
67495,2
7581,2
10925,2
9361,2
11241,2
13172,2
79781,2
14691,2
68453,2
69658,2
74394,2
2375,2
5276,2
81004,2
68630,2
75213,2
5645,2
7474,2
75887,2
76299,2
80118,2
14197,2
70117,2
5728,2
81507,2
10881,2
14445,2
73066,2
456,2
8709,2
74608,2
10203,2
7311,2
3056,2
77980,2
73318,2
69952,2
67257,2
76683,2
121,2
3954,2
73128,2
73622,2
69058,2
76397,2
4128,2
76672,2
76724,2
8021,2
74526,2
69747,2
78062,2
80177,2
73835,2
2928,2
11676,2
1740,2
7134,2
75412,2
78892,2
6932,2
80724,2
73961,2
72179,2
6171,2
10780,2
11179,2
15,2
2066,2
11107,2
76890,2
68364,2
67540,2
77843,2
74838,2
73171,2
461,2
7031,2
607,2
73343,2
11832,2
8028,2
8347,2
77311,2
69981,2
67034,2
71234,2
7665,2
8746,2
67989,2
74291,2
12189,2
72685,2
10345,2
68388,2
79151,2
75325,2
9787,2
80214,2
11105,2
74230,2
5625,2
69271,2
75747,2
77805,2
1188,2
76325,2
7125,2
701,2
68797,2
68457,2
72493,2
79808,2
71187,2
78884,2
69019,2
79111,2
7359,2
72731,2
12478,2
2638,2
7175,2
7725,2
75872,2
12110,2
6357,2
71508,2
70995,2
11859,2
8502,2
8552,2
68169,2
71644,2
7447,2
73925,2
74906,2
12940,2
81581,2
69834,2
72867,2
7862,2
5860,2
75286,2
75082,2
8601,2
13691,2
73471,2
1330,2
6867,2
78496,2
10793,2
5960,2
7945,2
69444,2
9512,2
74056,2
71533,2
1766,2
67359,2
68014,2
12999,2
9127,2
3287,2
72159,2
76482,2
68346,2
77578,2
72615,2
1316,2
8543,2
69866,2
72477,2
4575,2
81093,2
9715,2
71546,2
4048,2
8967,2
74729,2
7323,2
9288,2
3200,2
11453,2
9340,2
71774,2
76663,2
70763,2
81027,2
67741,2
81298,2
510,2
69476,2
81091,2
7420,2
3531,2
10752,2
67249,2
4369,2
76487,2
79650,2
3381,2
3291,2
13644,2
68844,2
80888,2
11478,2
75781,2
3106,2
2939,2
80275,2
6476,2
67382,2
75895,2
4511,2
5726,2
80623,2
6325,2
13551,2
9031,2
77003,2
8888,2
7907,2
79295,2
72382,2
80534,2
12989,2
7073,2
70927,2
5275,2
5075,2
8222,2
74036,2
72150,2
10553,2
580,2
10352,2
68018,2
4166,2
2634,2
79506,2
13698,2
81186,2
71990,2
4117,2
9637,2
13169,2
74010,2
5724,2
74413,2
67430,2
10428,2
80001,2
72733,2
74060,2
8007,2
9999,2
74784,2
77865,2
10457,2
9861,2
11262,2
68405,2
14187,2
81253,2
75858,2
79548,2
72481,2
3064,2
73642,2
71743,2
71660,2
9117,2
71035,2
70573,2
81472,2
74115,2
1151,2
14295,2
74236,2
72584,2
76481,2
12145,2
77891,2
3345,2
78285,2
79587,2
619,2
75275,2
79248,2
5789,2
77544,2
5868,2
4912,2
10975,2
75026,2
9983,2
70511,2
79282,2
67381,2
68103,2
81076,2
72033,2
68376,2
1918,2
75212,2
66974,2
80692,2
81882,2
1462,2
14023,2
77408,2
8723,2
76400,2
6304,2
69003,2
946,2
73241,2
79056,2
7332,2
78912,2
72850,2
7743,2
75230,2
69537,2
81677,2
11162,2
3442,2
72886,2
73792,2
72632,2
277,2
68331,2
70131,2
67679,2
9967,2
4520,2
80681,2
8523,2
76004,2
10958,2
1468,2
67335,2
1369,2
6872,2
78935,2
1183,2
2582,2
79865,2
13089,2
68304,2
75404,2
8152,2
4133,2
71253,2
79543,2
12797,2
10756,2
7585,2
73952,2
75283,2
80592,2
10541,2
10901,2
78585,2
74467,2
70070,2
11043,2
79754,2
14814,2
14909,2
70463,2
80884,2
76838,2
80509,2
81812,2
7366,2
4504,2
579,2
71408,2
14055,2
76381,2
70816,2
69258,2
4849,2
640,2
74977,2
4946,2
7000,2
9603,2
73551,2
12431,2
73472,2
7762,2
7291,2
3834,2
68860,2
73745,2
8,2
6173,2
4044,2
9912,2
9419,2
74382,2
76533,2
70464,2
9113,2
13199,2
80247,2
80167,2
70218,2
80719,2
4997,2
73860,2
80710,2
67618,2
77004,2
3208,2
70954,2
13623,2
73192,2
75989,2
80637,2
80805,2
68767,2
67129,2
81044,2
74896,2
71145,2
1939,2
67097,2
5186,2
4764,2
79077,2
8010,2
1628,2
13118,2
14702,2
72405,2
151,2
9219,2
78219,2
74571,2
3840,2
68326,2
1787,2
2275,2
11895,2
13998,2
76941,2
10474,2
69465,2
68165,2
80879,2
6348,2
6333,2
4627,2
5211,2
9385,2
72789,2
3760,2
80699,2
67525,2
1830,2
13706,2
81416,2
79645,2
71936,2
80852,2
70585,2
10527,2
6980,2
9930,2
67342,2
3498,2
7331,2
70672,2
9834,2
10639,2
